id,split,raw_text,clean_label,category_key,category_label,currency_hint,amount_value,direction,kind_hint,locale_hint,source,notes
syn-001,train,coffee 2.5,coffee,food,Food & drinks,USD,2.5,out,,en,synthetic,coffee
syn-002,train,cofee 2,cofee,food,Food & drinks,USD,2.0,out,,en,synthetic,misspelling
syn-003,train,brown coffee 12000 riels,brown coffee,food,Food & drinks,KHR,12000,out,,mixed,synthetic,cafe merchant
syn-004,train,iced latte 3.25,iced latte,food,Food & drinks,USD,3.25,out,,en,synthetic,cafe
syn-005,train,lunch near office 3,lunch near office,food,Food & drinks,USD,3.0,out,,en,synthetic,meal with location
syn-006,train,lunch with dara 12,lunch with dara,food,Food & drinks,USD,12.0,out,,en,synthetic,meal with person
syn-007,train,dinner with sreypov 15,dinner with sreypov,food,Food & drinks,USD,15.0,out,,en,synthetic,dinner person
syn-008,train,nom banh chok 5000,nom banh chok,food,Food & drinks,KHR,5000,out,,km-Latn,synthetic,khmer romanized
syn-009,train,baay sach chrouk 7000,baay sach chrouk,food,Food & drinks,KHR,7000,out,,km-Latn,synthetic,breakfast khmer
syn-010,train,phsar grocery 35000,phsar grocery,food,Food & drinks,KHR,35000,out,,mixed,synthetic,market groceries
syn-011,train,phsar grocery 35000 riels yesterday,phsar grocery,food,Food & drinks,KHR,35000,out,,mixed,synthetic,mixed markers
syn-012,train,street noodle 9000,street noodle,food,Food & drinks,KHR,9000,out,,en,synthetic,street food
syn-013,train,kuy teav 6000,kuy teav,food,Food & drinks,KHR,6000,out,,km-Latn,synthetic,noodle khmer
syn-014,train,pizza dinner 8,pizza dinner,food,Food & drinks,USD,8.0,out,,en,synthetic,meal
syn-015,train,pizza with friends 18,pizza with friends,food,Food & drinks,USD,18.0,out,,en,synthetic,group meal
syn-016,train,burger king 7.5,burger king,food,Food & drinks,USD,7.5,out,,en,synthetic,fast food
syn-017,train,milk tea 1.5,milk tea,food,Food & drinks,USD,1.5,out,,en,synthetic,drink
syn-018,train,teashop boba 2.25,teashop boba,food,Food & drinks,USD,2.25,out,,en,synthetic,drink
syn-019,train,breakfast sandwich 4.5,breakfast sandwich,food,Food & drinks,USD,4.5,out,,en,synthetic,breakfast
syn-020,train,morning coffee 2.75,coffee,food,Food & drinks,USD,2.75,out,,en,synthetic,coffee
syn-021,train,coffee near office 3,coffee near office,food,Food & drinks,USD,3.0,out,,en,synthetic,coffee location
syn-022,train,lunch yesterday at brown coffee 6,lunch at brown coffee,food,Food & drinks,USD,6.0,out,,en,synthetic,extra words
syn-023,train,nom pao 4000,nom pao,food,Food & drinks,KHR,4000,out,,km-Latn,synthetic,snack khmer
syn-024,train,bakery bread 2,bakery bread,food,Food & drinks,USD,2.0,out,,en,synthetic,bakery
syn-025,train,restaurant dinner 25,restaurant dinner,food,Food & drinks,USD,25.0,out,,en,synthetic,restaurant
syn-026,train,kor kou 5500,kor kou,food,Food & drinks,KHR,5500,out,,km-Latn,synthetic,khmer dish
syn-027,train,coffee 2.5 usd,coffee,food,Food & drinks,USD,2.5,out,,en,synthetic,currency marker
syn-028,train,snack at mart 1.5,snack at mart,food,Food & drinks,USD,1.5,out,,en,synthetic,snack
syn-029,train,dinner with family 20,dinner with family,food,Food & drinks,USD,20.0,out,,en,synthetic,family meal
syn-030,train,cafe au lait 3,cafe au lait,food,Food & drinks,USD,3.0,out,,en,synthetic,cafe
syn-031,train,coffee,coffee,food,Food & drinks,USD,0.0,out,,en,synthetic,no amount
syn-032,train,grab 4000,grab,transport,Transport,KHR,4000,out,,en,synthetic,ride hailing
